year,project_id,camera_trap_array,deployment_id,sequence_id,start_time,end_time,class,order,family,genus,species,common_name,age,sex,group_size,seq_length,project_deployment_id
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8069003,2023-11-28T05:49:44Z,2023-11-28T05:51:54Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,130,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068993,2023-11-28T04:42:13Z,2023-11-28T04:42:59Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,46,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068797,2023-11-21T00:21:53Z,2023-11-21T00:22:31Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,38,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8070200,2023-11-06T10:19:02Z,2023-11-06T10:19:14Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,12,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068984,2023-11-27T23:02:54Z,2023-11-27T23:03:21Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,27,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991809,2023-09-18T23:37:57Z,2023-09-18T23:38:01Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc42 09/28/2023,7627175,2023-10-08T19:00:40Z,2023-10-08T19:00:50Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,10,2006496_NY_Anthropogenic_NYC_23_loc42 09/28/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc03 09/13/2023,8070340,2023-09-22T04:48:37Z,2023-09-22T04:48:40Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc03 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069563,2023-10-04T13:56:38Z,2023-10-04T13:56:42Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991820,2023-09-20T19:11:17Z,2023-09-20T19:11:21Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc32 10/04/2023,7574909,2023-11-02T21:37:48Z,2023-11-02T21:38:30Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,42,2006496_NY_Anthropogenic_NYC_23_loc32 10/04/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc31 10/04/2023,7572276,2023-10-26T05:39:06Z,2023-10-26T05:39:10Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc31 10/04/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069515,2023-10-02T18:07:37Z,2023-10-02T18:07:40Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc32 10/04/2023,7572706,2023-10-13T03:43:30Z,2023-10-13T03:43:33Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc32 10/04/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991777,2023-09-05T04:22:46Z,2023-09-05T04:22:50Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068816,2023-11-22T20:15:48Z,2023-11-22T20:15:50Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc42 09/28/2023,7626935,2023-10-03T18:23:42Z,2023-10-03T18:23:45Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc42 09/28/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069514,2023-10-02T17:47:14Z,2023-10-02T17:47:17Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991909,2023-10-02T13:38:22Z,2023-10-02T13:38:48Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,26,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068758,2023-11-19T02:56:39Z,2023-11-19T02:56:41Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068576,2023-11-08T17:44:17Z,2023-11-08T17:44:20Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068945,2023-11-25T20:51:41Z,2023-11-25T20:51:43Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068574,2023-11-08T14:41:15Z,2023-11-08T14:41:20Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,5,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991912,2023-10-02T17:55:01Z,2023-10-02T17:55:01Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,0,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068883,2023-11-23T22:30:26Z,2023-11-23T22:30:29Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068300,2023-10-23T22:23:41Z,2023-10-23T22:23:44Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991917,2023-10-02T23:34:33Z,2023-10-02T23:34:37Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991960,2023-10-11T11:28:08Z,2023-10-11T11:28:12Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068952,2023-11-26T05:40:51Z,2023-11-26T05:40:54Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc42 09/28/2023,7627549,2023-10-16T00:52:49Z,2023-10-16T00:52:52Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc42 09/28/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc59 09/01/2023,7991793,2023-09-11T21:49:38Z,2023-09-11T21:49:42Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc59 09/01/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc32 10/04/2023,7574434,2023-10-29T18:37:03Z,2023-10-29T18:37:13Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,10,2006496_NY_Anthropogenic_NYC_23_loc32 10/04/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069890,2023-10-16T05:42:40Z,2023-10-16T05:43:00Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,20,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068990,2023-11-28T02:11:15Z,2023-11-28T02:11:18Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
